Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,270.13054337708,405.21625299166,298.619682050521,334.02157257299,387.082465360781,424.600386118337,457.96372825642,486.787081921829,497.316960805998,471.31884040895,467.07423746454,561.777182390647
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1187.55128407722,1029.57703685039,2314.26602478527,2809.69495708158,3282.39345461725,3032.66732937043,3047.06458933719,2992.93134863351,1761.32356974061,1814.06341798173,1702.571349341,2147.76946104594
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,1831.00191180894,3772.87001155434,6760.47802566895,8141.91359856475,9121.93179750265,9913.21070795469,10490.0806476351,10547.1518483721,11299.1361770439,11666.4566126052,11752.5436017285,12026.5475337333
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,905.321715851216,651.305906791064,1210.29544962206,1211.93028525766,1207.00139766802,1243.3445093295,1415.46927734066,1559.3866522099,1426.45784543221,1481.65230477177,1557.18294760465,1715.53123817013
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,..,4873.05330573071,14582.227350807,13937.1422658809,14577.1988851678,13250.7571179806,13665.9141789877,13609.4973131526,11780.1312419694,12366.8215382479,13383.6834974431,14869.0906823045
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2703.16803909913,2747.09857519438,5529.67036020975,5730.35477459488,6139.71932965905,6497.32111313561,6837.71289192677,7133.34209494342,7694.0119195241,8060.79588647979,8541.2106734664,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,20146.3864122001,20587.397358013,20462.7179539813,20258.0096948833,19951.3279030441,19555.3658492891,19457.5315232205,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.57527301293,14388.3467029574,32105.867479829,30818.4799259532,32233.6433858793,28984.9445491789,27942.3012696028,27407.1528617811,23217.4841507892,24019.1378679236,25760.7627043417,28159.3016999455
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,3917.15984010204,6011.61522035701,19741.5976279826,19808.0710912518,21717.4579392202,19729.8705111763,19916.0193873722,19744.5586092159,17715.6168523009,18463.3865756564,20379.8960396417,22973.1058464741
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.4416399373,30743.5591735847,58163.2935943068,58041.4112245601,61753.6600721804,58507.5002096272,61191.1926260428,62548.9850174371,53254.8505904922,54467.1014299458,57218.851961927,60595.5780291713
